Year,Precip (mm),Irrig (mm),Yield (kg/ha),Irrig A (mm),Yield A (kg/ha),Irrig U (mm),Yield U (kg/ha),Irrig UA (mm),Yield UA (kg/ha)
2000,286.1,1044.3,4781,875.9,4489,1821.1,2473,1404.7,2460
2001,263.1,1012.3,5211,897.3,4978,1752.3,2469,1456.6,2458
2002,268.1,1043,2252,862.6,2213,1743.3,1859,1400.3,1858
2003,397.8,945.8,3513,761.9,3388,1765.6,1936,1456.5,1923
2004,235,1285.4,4450,949.2,4372,2007.1,2004,1550.0,2004
2005,217.4,1182.9,3927,940.9,3823,1869.9,1922,1437.9,1921
2006,226.4,1124.4,3722,941.7,3594,1884.5,2080,1520.1,2148
2007,436.2,776.3,6091,667.2,5959,1513.1,2300,1210.1,2301
2008,376.5,972.7,3725,698.8,3637,1677,2236,1313.6,2234
2009,327.4,1029,5665,836.1,5550,1781.2,2128,1394.3,2125
2010,330.3,1260.3,4668,998,4340,1935.9,1902,1410.8,1887
2011,310.5,876.6,4027,737.5,3854,1604.2,2103,1297.7,2103
2012,255,1388.4,3870,1066.4,3587,2015.9,2228,1571.6,2219
2013,266.4,1346.6,5406,1080.8,5170,2053.6,1960,1632.5,1960
2014,297,1181.5,3785,932.1,3629,1921.8,2339,1514.5,2339
2015,303,1371.5,4785,1076.8,4661,2105.8,1825,1635.5,1897
2016,330.3,1597.3,2633,1289.4,2506,2296.9,2542,1792.9,2542
2017,327.2,946.5,6393,835.8,6093,1528.4,2219,1388.7,2181
2018,405.2,708.6,4396,600.9,4263,1191.2,1938,997.1,1938
2019,231.3,1342.5,6740,1030,6515,2091.5,2070,1568.3,2069
2020,180.2,1328,5781,1060.3,5307,2074.8,2382,1635.2,2387
2021,439.8,1157.9,4639,731.4,4471,1894.2,2264,1290.0,2265
2022,483.5,1176.9,3657,814,3469,1826.3,1942,1315.7,1933
2023,294.8,1581,4990,1199.3,4672,2252.3,2295,1755.8,2295
2024,365.3,1203.3,4945,929.4,4718,1994.7,2144,1550.5,2144
