Year,Precip (mm),Irrig (mm),Yield (kg/ha),Irrig A (mm),Yield A (kg/ha),Irrig U (mm),Yield U (kg/ha),Irrig UA (mm),Yield UA (kg/ha)
2000,1056.5,576.7,4972,513.8,4820,1284.9,2287,1033.6,2276
2001,967.2,727,2189,519.7,2084,1404.7,1850,1052.5,1855
2002,1024.1,489.1,3374,361.6,3027,1256.1,2170,945.5,2170
2003,938.9,570.9,3912,508.4,3552,1285.3,2608,1053.3,2608
2004,826.7,652.5,5463,508.8,5073,1345.9,2487,978.8,2486
2005,1236.9,488.2,5404,431.6,4736,1168,2371,1026.0,2371
2006,1315.3,402,3945,416.8,3433,1035.9,1290,931.5,1284
2007,911.6,728.3,4295,647.1,3858,1481.6,2333,1247.5,2333
2008,1500.4,179.9,1535,179.9,1400,789.9,2402,802.7,2402
2009,840.9,784.8,3340,671.5,3149,1527.1,1957,1147.9,1956
2010,1468.8,255.1,3272,255.1,3097,636.2,1949,636.2,1949
2011,1400.7,330.6,4141,329.3,3910,884.5,2402,846.6,2402
2012,1377.3,483.3,5154,483.3,4576,1050.9,2122,993.7,2118
2013,1499.9,333.3,4727,331,4245,974.1,1807,881.2,1797
2014,1167.1,410.7,1535,422.7,1318,1044,2429,870.6,2428
2015,1071.4,635.1,4376,597.2,4093,1284.9,2350,1135.4,2349
2016,1070.2,333.8,4006,333.8,3808,1033.7,1977,960.8,1968
2017,1530.6,334,3804,333.6,3345,977.7,2092,844.7,2092
2018,1323.9,567.9,4246,579.2,3796,1103.2,2169,1025.7,2168
2019,756.3,869.2,4190,682.3,3815,1589.3,2125,1290.4,2125
2020,1222.8,405.5,5648,418.4,5419,1113.4,1916,945.4,1916
2021,990.1,721.1,4586,662.8,4067,1378.4,2094,1119.3,2094
2022,1074.6,411,5117,411,4896,1103.1,1874,948.5,1847
2023,911.5,980.1,4391,927.4,4054,1664.4,2301,1466.0,2301
2024,1148.4,562.4,3240,513.7,3240,1273.8,1516,1102.8,1516
