Year,Precip (mm),Irrig (mm),Yield (kg/ha),Irrig A (mm),Yield A (kg/ha),Irrig U (mm),Yield U (kg/ha),Irrig UA (mm),Yield UA (kg/ha)
2025,361.7,1167.6,7656,927.9,7711,1940.5,2234,1490.1,2234
2026,418.3,1104.1,4235,793.7,4272,1850,2158,1315.3,2158
2027,322.9,1044.6,3283,845.8,3398,1773.9,2275,1324.2,2275
2028,348.8,1097.2,4284,863,4437,1819.7,1797,1392.8,1797
2029,358.6,1204.9,4153,858.7,4116,1872.7,2149,1439.0,2149
2030,328.8,1263.7,4242,934.6,4295,1979.8,1880,1471.8,1880
2031,308.4,1263.4,3929,924.9,3992,1984.3,1908,1547.0,1908
2032,348.5,1196.6,3953,927.2,3913,2007.1,1806,1561.1,1806
2033,391.6,1282.4,3854,936.5,3852,1963.5,1904,1469.6,1904
2034,324.8,1187.9,4608,925.4,4600,1925.9,2467,1457.3,2467
2035,371.5,1210.4,6006,859.6,5865,1959.5,2346,1470.3,2346
2036,407.7,1104.7,3413,848.8,3390,1846.4,2015,1394.5,2015
2037,363,1058.2,4459,849.7,4449,1905,2159,1465.0,2159
2038,305,1186.6,3161,925.4,3118,1904.9,2070,1470.3,2070
2039,355.5,1106.1,3068,857.6,3069,1829.8,1972,1467.5,1971
2040,308.8,1188.6,4670,930.4,4611,1960.4,2253,1446.2,2254
2041,301.6,1256.3,3533,1007.6,3538,1966.3,2176,1536.4,2176
2042,350.6,1169.7,3453,925.4,3444,1918.9,2212,1475.6,2212
2043,286.1,1270.1,3500,991.1,3525,2056.9,1994,1653.7,1994
2044,344.1,1182.8,3054,851.4,3088,1906.3,1977,1403.5,1977
2045,303.1,1255.7,2881,1007.4,2939,2007.1,2248,1558.6,2249
2046,294.3,1252.1,4494,1000,4563,1977.4,2119,1573.9,2119
2047,307.1,1326.3,4924,992.7,4917,2042,2018,1550.1,2018
2048,316.5,1195.3,4853,937.1,4740,1922.6,1926,1494.6,1926
2049,278.6,1282.4,4212,1017.2,4162,2086.5,2146,1574.7,2146
2050,329.1,1283.3,2236,942.2,2245,1961.7,1984,1480.5,1984
2051,358.1,1186,5071,869,5064,1861.7,1641,1386.7,1640
2052,349.3,1200.9,4339,939.7,4342,1874.9,2194,1450.7,2194
2053,347,1140.3,3530,867.3,3531,1913.5,2187,1461.2,2187
2054,330.9,1251.4,3477,915.9,3580,1989.3,2153,1473.5,2153
2055,291.9,1106.2,2713,849.4,2679,1891.2,2348,1458.6,2348
2056,394.7,1262,4081,1032,4125,2083.9,2180,1587.0,2180
2057,396.2,1261.3,4051,943.4,4105,1981.3,2466,1488.9,2466
2058,377.5,1242.5,4177,997.7,4105,1988,2062,1556.4,2061
2059,355.9,1248.2,4250,1000.7,4383,1911.8,2326,1466.8,2326
2060,292.4,1243.8,4506,993.9,4348,2030.7,2174,1507.9,2174
2061,362,1123.6,2928,858.9,3088,1953.5,2439,1489.9,2439
2062,326.9,1357.9,5020,1015.3,4983,2034.5,1949,1540.7,1949
2063,331.8,1241.4,4623,926.5,4679,1939.5,2433,1472.2,2433
2064,383.4,1132.6,4724,832,4726,1823.4,2180,1394.4,2180
2065,486.4,1181,5428,995.3,5399,1848.3,2104,1402.8,2103
2066,269,1275.1,4869,937.4,4854,1997.9,2305,1499.2,2305
2067,327.2,1133.6,5521,870.4,5523,1926.9,2401,1416.0,2401
2068,302.8,1197.9,5551,947.5,5551,1931.6,2285,1521.5,2285
2069,287,1197.8,3655,1020.6,3588,1868.4,2529,1474.5,2529
2070,377,1279.6,3957,999,4023,1987.7,1976,1488.6,1976
