Year,Precip (mm),Irrig (mm),Yield (kg/ha),Irrig A (mm),Yield A (kg/ha),Irrig U (mm),Yield U (kg/ha),Irrig UA (mm),Yield UA (kg/ha)
2025,1153.6,548.5,4716,508.2,4885,1186,2135,1108.5,2135
2026,1167.5,486.5,4451,481.5,4451,1188.6,2155,1084.7,2155
2027,1247.8,481.6,5528,417.4,5521,1029,1910,940.5,1910
2028,1150.2,479.3,3336,361.6,3336,1114.3,2138,957.2,2138
2029,1206.5,411.6,5654,411.6,5654,1040.9,1794,1000.3,1794
2030,1465.5,263.1,3463,263.1,3565,863.6,2327,817.5,2327
2031,939.8,630.9,3406,581.9,3614,1360.5,2239,1101.5,2239
2032,1046.5,407.6,4434,369.4,4443,1193.3,1839,932.4,1839
2033,1214.8,422.1,3420,425.7,3421,1026.5,2283,943.4,2283
2034,1150.2,559.3,5502,494.5,5503,1196.5,2194,1099.5,2194
2035,910.5,627.5,3981,526.2,4350,1331.2,2343,1096.8,2343
2036,1047.5,406.4,4604,413.3,4610,1121.3,2253,931.9,2253
2037,1328.4,415.1,4393,425.7,4393,1049.8,2328,929.6,2328
2038,1342.7,406.8,3473,406.8,3473,946.1,1924,965.0,1924
2039,1168.9,341.2,3985,337.5,3996,1067.6,2471,803.8,2471
2040,1039.9,498.1,5109,494.9,5109,1255.1,2243,1072.9,2243
2041,1070.9,554.1,5666,494.9,5682,1220.4,2222,1028.0,2222
2042,1114.3,479.1,4713,479.1,4713,1112.7,2100,1070.4,2100
2043,1410.1,260,6322,260,5672,727.7,1914,727.7,1914
2044,1112.5,485.9,5029,497.1,5026,1104.4,1722,1020.4,1722
2045,1406.5,255.3,2656,255.3,2684,803.8,2233,816.8,2230
2046,1402.8,340.5,5441,404.4,5437,985.4,2428,939.4,2428
2047,1091.7,560.3,4667,506.4,4792,1116.7,2760,1031.9,2760
2048,1056.1,561.4,2641,433,2638,1188.6,2303,966.4,2303
2049,1238,403.5,3517,329.5,3517,934.8,1768,840.0,1768
2050,982.9,566.1,5223,565.9,5223,1291.4,2256,1106.8,2256
2051,1221.3,404.8,6320,324.3,6315,1034.7,1932,897.0,1932
2052,1386.8,259,3516,259,3516,804.8,2224,726.3,2224
2053,1041.8,487.6,4179,446.7,4395,1253.8,2510,1039.2,2510
2054,1072.2,494.2,4249,422.9,4246,1213.4,2285,1025.9,2285
2055,1181.8,329.8,5065,336.8,5065,1034,2087,908.1,2087
2056,1225.2,257.7,4650,257.7,4650,965.8,1890,794.2,1890
2057,1261.6,343.3,4630,343.3,4831,943.2,2144,794.9,2144
2058,1256.9,180,2192,180,2192,882.7,2416,813.2,2416
2059,1173,571.6,6191,511.8,6191,1112,1712,1019.2,1712
2060,1314.3,335.5,4175,261.3,4186,791.2,2092,738.7,2092
2061,1579.3,180,4014,180,3987,573.9,1994,571.4,1994
2062,1018.9,494.5,3570,493.5,3610,1282.7,2116,1101.4,2116
2063,940.3,724.4,4056,593.2,4075,1375.4,2159,1158.7,2159
2064,1007,569.3,3387,513.7,3387,989.3,1974,1111.5,1974
2065,1433,261.5,2850,261.5,2850,799.1,2252,812.1,2252
2066,1279.8,257.3,4334,257.3,4334,798.8,1699,805.4,1699
2067,1005.8,566.4,2591,524.4,2596,1265.8,2258,1117.4,2258
2068,1288,413.8,4581,338.6,4581,1025.6,2328,852.1,2328
2069,1023.1,642.6,4497,600,4605,977.4,2096,1111.7,2096
2070,1093.7,572.4,4586,575.4,4802,1258.7,2116,1103.2,2116
2071,1136.4,484.9,4329,484.9,4356,1127.4,2004,1064.1,2004
2072,1321.8,338.3,4566,338.3,4651,874.4,2147,874.4,2147
2073,1020.4,580.4,2706,442.4,2706,1216.9,2051,1044.6,2051
2074,917.3,724.3,3825,589.6,3825,1425.7,2232,1057.3,2232
2075,1551.2,334.2,2100,334.2,2124,966.4,2003,965.4,2003
2076,1297.2,488.8,5129,485.5,5401,1043.3,2302,1018.3,2302
2077,1253.3,329.2,4322,333.6,4321,886.9,2415,844.4,2415
2078,1044.4,646.5,5177,598.5,5177,1338.6,2789,1130.8,2789
2079,1104.6,641.4,4884,582.4,4884,1204.6,1964,1127.7,1964
2080,1315.3,641.6,4409,513.8,5100,1207.3,1868,977.5,1868
2081,1168.1,482.3,2984,479.8,3127,1039.8,1899,937.5,1899
2082,1243.9,421,4815,421,4808,944.1,1950,866.7,1950
2083,1563.6,337.8,2691,335.3,2700,949.2,2173,859.6,2173
2084,1258.5,255,2637,255,3039,879,2126,888.3,2126
2085,1337.1,566,4940,521.4,4942,1126.6,2254,1040.3,2254
2086,1285.8,561.6,5042,521.4,5051,1184.8,2081,1045.6,2081
2087,1101.9,328.2,5369,335.6,5371,1126.1,2304,919.1,2304
2088,1260.3,339.3,3787,339.3,3788,946.1,1953,805.8,1953
2089,1312.7,412.8,3398,346.1,3789,1052.3,1982,926.2,1982
2090,1235,576.7,4142,523.4,4142,1108.7,1859,972.0,1859
2091,943.4,643.9,3621,513.9,3624,1331.9,1776,970.5,1776
2092,1154.6,646.4,6604,591.7,6616,1249.8,1544,1093.2,1544
2093,1060,481.5,4718,487.9,4718,1200.6,2560,1029.0,2560
2094,1081.3,567.9,3305,567.9,3305,1223.8,1520,1136.9,1520
2095,1353.4,333.2,5196,333.2,5862,900.3,2097,907.5,2097
2096,1115.2,498.2,4153,497.4,4251,1095.1,1981,1006.1,1981
2097,1503.2,257.3,4222,257.3,4317,804.4,1839,804.4,1839
2098,992.8,480.3,3512,510.1,3523,1271.6,1929,1100.2,1929
2099,1278.3,338.3,4097,341.8,4127,954,2593,908.9,2593
